gene_id,entrez_id,gene_symbol,organism_tax_ids,gene_types,cell_count,cell_count_order
Aldh1a1,11668,Aldh1a1,10090,protein-coding,300,163
Aldh2,11669,Aldh2,10090,protein-coding,300,164
Aldh3a1,11670,Aldh3a1,10090,protein-coding,300,165
Aldh3a2,11671,Aldh3a2,10090,protein-coding,300,166
Aldoa,11674,Aldoa,10090,protein-coding,300,167
Aldoc,11676,Aldoc,10090,protein-coding,300,168
Akr1b3,11677,Akr1b3,10090,protein-coding,300,169
Alk,11682,Alk,10090,protein-coding,300,170
Alox12,11684,Alox12,10090,protein-coding,300,171
Alox12e,11685,Alox12e,10090,protein-coding,300,172
Alox12b,11686,Alox12b,10090,protein-coding,300,173
Alox15,11687,Alox15,10090,protein-coding,300,174
Alox8,11688,Alox8,10090,protein-coding,300,175
Alox5,11689,Alox5,10090,protein-coding,300,176
Alox5ap,11690,Alox5ap,10090,protein-coding,300,177
alp,11691,alp,10090,unknown,300,178
Gfer,11692,Gfer,10090,protein-coding,300,179
Alx3,11694,Alx3,10090,protein-coding,300,180
Alx4,11695,Alx4,10090,protein-coding,300,181
am,11697,am,10090,unknown,300,182
Ambn,11698,Ambn,10090,protein-coding,300,183
Ambp,11699,Ambp,10090,protein-coding,300,184
amd,11700,amd,10090,unknown,300,185
Amd-ps1,11701,Amd-ps1,10090,pseudo,300,186
Amd1,11702,Amd1,10090,protein-coding,300,187
Amelx,11704,Amelx,10090,protein-coding,300,188
Amh,11705,Amh,10090,protein-coding,300,189
Ampd3,11717,Ampd3,10090,protein-coding,300,190
Mat1a,11720,Mat1a,10090,protein-coding,300,191
Amy1,11722,Amy1,10090,protein-coding,300,192
Ang,11727,Ang,10090,protein-coding,300,193
Ang-ps1,11728,Ang-ps1,10090,pseudo,300,194
Ang3,11730,Ang3,10090,protein-coding,300,195
Ang2,11731,Ang2,10090,protein-coding,300,196
Ank,11732,Ank,10090,protein-coding,300,197
Ank1,11733,Ank1,10090,protein-coding,300,198
Ank3,11735,Ank3,10090,protein-coding,300,199
Ankfy1,11736,Ankfy1,10090,protein-coding,300,200
Anp32a,11737,Anp32a,10090,protein-coding,300,201
Slc25a4,11739,Slc25a4,10090,protein-coding,300,202
Slc25a5,11740,Slc25a5,10090,protein-coding,300,203
anx,11743,anx,10090,unknown,300,204
Anxa11,11744,Anxa11,10090,protein-coding,300,205
Anxa3,11745,Anxa3,10090,protein-coding,300,206
Anxa4,11746,Anxa4,10090,protein-coding,300,207
Anxa5,11747,Anxa5,10090,protein-coding,300,208
Anxa6,11749,Anxa6,10090,protein-coding,300,209
Anxa7,11750,Anxa7,10090,protein-coding,300,210
Anxa8,11752,Anxa8,10090,protein-coding,300,211
ao,11753,ao,10090,unknown,300,212
Aoc3,11754,Aoc3,10090,protein-coding,300,213
Prdx3,11757,Prdx3,10090,protein-coding,300,214
Prdx6,11758,Prdx6,10090,protein-coding,300,215
Aox1,11761,Aox1,10090,protein-coding,300,216
ap,11763,ap,10090,unknown,300,217
Ap1b1,11764,Ap1b1,10090,protein-coding,300,218
Ap1g1,11765,Ap1g1,10090,protein-coding,300,219
Ap1g2,11766,Ap1g2,10090,protein-coding,300,220
Ap1m1,11767,Ap1m1,10090,protein-coding,300,221
Ap1m2,11768,Ap1m2,10090,protein-coding,300,222
Ap1s1,11769,Ap1s1,10090,protein-coding,300,223
Fabp4,11770,Fabp4,10090,protein-coding,300,224
Ap2a1,11771,Ap2a1,10090,protein-coding,300,225
Ap2a2,11772,Ap2a2,10090,protein-coding,300,226
Ap2m1,11773,Ap2m1,10090,protein-coding,300,227
Ap3b1,11774,Ap3b1,10090,protein-coding,300,228
Ap3b2,11775,Ap3b2,10090,protein-coding,300,229
Ap3d1,11776,Ap3d1,10090,protein-coding,300,230
Ap3s1,11777,Ap3s1,10090,protein-coding,300,231
Ap3s2,11778,Ap3s2,10090,protein-coding,300,232
Ap4m1,11781,Ap4m1,10090,protein-coding,300,233
Ap4s1,11782,Ap4s1,10090,protein-coding,300,234
Apaf1,11783,Apaf1,10090,protein-coding,300,235
Apba2,11784,Apba2,10090,protein-coding,300,236
Apbb1,11785,Apbb1,10090,protein-coding,300,237
Apbb2,11787,Apbb2,10090,protein-coding,300,238
Apc,11789,Apc,10090,protein-coding,300,239
Speg,11790,Speg,10090,protein-coding,300,240
Apex1,11792,Apex1,10090,protein-coding,300,241
Atg5,11793,Atg5,10090,protein-coding,300,242
Birc3,11796,Birc3,10090,protein-coding,300,243
Birc2,11797,Birc2,10090,protein-coding,300,244
Xiap,11798,Xiap,10090,protein-coding,300,245
Birc5,11799,Birc5,10090,protein-coding,300,246
Api5,11800,Api5,10090,protein-coding,300,247
Cd5l,11801,Cd5l,10090,protein-coding,300,248
Aplp1,11803,Aplp1,10090,protein-coding,300,249
Aplp2,11804,Aplp2,10090,protein-coding,300,250
Apoa1,11806,Apoa1,10090,protein-coding,300,251
Apoa2,11807,Apoa2,10090,protein-coding,300,252
Apoa4,11808,Apoa4,10090,protein-coding,300,253
Apobec1,11810,Apobec1,10090,protein-coding,300,254
Apobec2,11811,Apobec2,10090,protein-coding,300,255
Apoc1,11812,Apoc1,10090,protein-coding,300,256
Apoc2,11813,Apoc2,10090,protein-coding,300,257
Apoc3,11814,Apoc3,10090,protein-coding,300,258
Apod,11815,Apod,10090,protein-coding,300,259
Apoe,11816,Apoe,10090,protein-coding,300,260
Apoh,11818,Apoh,10090,protein-coding,300,261
Nr2f2,11819,Nr2f2,10090,protein-coding,300,262
App,11820,App,10090,protein-coding,300,263
Aprt,11821,Aprt,10090,protein-coding,300,264
Aqp1,11826,Aqp1,10090,protein-coding,300,265
Aqp2,11827,Aqp2,10090,protein-coding,300,266
Aqp3,11828,Aqp3,10090,protein-coding,300,267
Aqp4,11829,Aqp4,10090,protein-coding,300,268
Aqp5,11830,Aqp5,10090,protein-coding,300,269
Aqp6,11831,Aqp6,10090,protein-coding,300,270
Aqp7,11832,Aqp7,10090,protein-coding,300,271
Aqp8,11833,Aqp8,10090,protein-coding,300,272
Aqr,11834,Aqr,10090,protein-coding,300,273
Ar,11835,Ar,10090,protein-coding,300,274
Araf,11836,Araf,10090,protein-coding,300,275
Rplp0,11837,Rplp0,10090,protein-coding,300,276
Arc,11838,Arc,10090,protein-coding,300,277
Areg,11839,Areg,10090,protein-coding,300,278
Arf1,11840,Arf1,10090,protein-coding,300,279
Arf2,11841,Arf2,10090,protein-coding,300,280
Arf3,11842,Arf3,10090,protein-coding,300,281
Arf4,11843,Arf4,10090,protein-coding,300,282
Arf5,11844,Arf5,10090,protein-coding,300,283
Arf6,11845,Arf6,10090,protein-coding,300,284
Arg1,11846,Arg1,10090,protein-coding,300,285
Arg2,11847,Arg2,10090,protein-coding,300,286
Rhoa,11848,Rhoa,10090,protein-coding,300,287
Rhoay-ps1,11849,Rhoay-ps1,10090,pseudo,300,288
Rhoay-ps2,11850,Rhoay-ps2,10090,pseudo,300,289
Rhoay-ps3,11851,Rhoay-ps3,10090,pseudo,300,290
Rhob,11852,Rhob,10090,protein-coding,300,291
Rhoc,11853,Rhoc,10090,protein-coding,299,0
Rhod,11854,Rhod,10090,protein-coding,299,1
Arhgap5,11855,Arhgap5,10090,protein-coding,300,292
Arhgap6,11856,Arhgap6,10090,protein-coding,300,293
Arhgdib,11857,Arhgdib,10090,protein-coding,300,294
Rnd2,11858,Rnd2,10090,protein-coding,300,295
Phox2a,11859,Phox2a,10090,protein-coding,300,296
Arl4a,11861,Arl4a,10090,protein-coding,300,297
Arnt,11863,Arnt,10090,protein-coding,300,298
Atp1b3,11933,Atp1b3,10090,protein-coding,300,299
